thread,ops,ds,test
1,126698,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
4,500659,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
8,981633,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
12,1421922,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
16,1777742,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
20,2098811,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
24,2337426,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
32,2775785,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
36,2982176,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
40,3184898,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
48,3519206,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
62,4454378,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
72,4982589,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
80,5365766,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
90,5072147,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
1,127221,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
4,500858,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
8,989367,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
12,1422716,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
16,1783637,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g0p0i50rm50:range=1000000:prefill=500000
