thread,ops,ds,test
1,131495,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
4,520841,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
8,1035220,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
12,1495809,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
16,1869103,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
20,2232243,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
24,2569831,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
32,3103848,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
36,3345879,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
40,3590001,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
48,4175554,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
62,5313773,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
72,5949264,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
80,6526410,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
90,6424979,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
1,131909,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
4,521387,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
8,1022450,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
12,1498337,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
16,1873832,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
20,2255508,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
24,2538202,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
32,3088453,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
36,3351040,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
40,3602998,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
48,4171963,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
62,5304435,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
72,6000302,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
80,6541398,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
90,6413256,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
1,131137,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
4,526016,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
8,1026799,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
12,1492040,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
16,1870522,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
20,2282306,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
24,2547036,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
32,3078124,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
36,3346334,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
40,3604914,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
48,4213577,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
62,5310566,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
72,5971723,NoPersistTxnBoostingFraserSkipList<uint64_t>,TxnMapChurnTest<uint64_t:NBTC>:txn10:g90p0i5rm5:range=1000000:prefill=500000
